article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,china_threat_score,china_threat_confidence,industrial_intervention_score,industrial_intervention_confidence,econ_nationalism_composite,composite_confidence
83c57797-1858-4f8d-aec3-d1a0dfdf898a,FR101,FR10,,,0.7193,0.8181,0.5387,0.6397,0.4613,0.5449,0.629,0.629
477e3f4e-a02e-42fc-83be-4863106df862,FR101,FR10,,,0.8174,0.8645,0.6033,0.6513,0.7776,0.8852,0.7975,0.7975
e58752ab-ef14-4a75-b3c3-a36f6382d23b,FRE12,FRE1,,,0.9205,0.9842,0.7671,0.7853,0.8663,0.9046,0.8934,0.8934
24fdb99f-ba59-46e2-a76c-0053f8591a83,FR101,FR10,,,0.967,0.9874,0.8444,0.8472,0.9164,0.9318,0.9417,0.9417
7095e151-9815-460b-b5e7-24ac7bc6e6e5,FR101,FR10,,,0.6996,0.7677,0.7026,0.7849,0.5563,0.6371,0.7011,0.7011
e3995ffc-44ec-44d0-8612-8fe28f891795,FR101,FR10,,,0.7321,0.8013,0.6574,0.681,0.3511,0.3743,0.6948,0.6948
0f941d01-af72-49df-bcfc-2b3d073757b1,FRI12,FRI1,,,0.9788,0.9822,0.9409,0.977,0.9239,0.9282,0.9598,0.9598
ba65a6a2-9b47-4c43-b009-655814f51e54,FR101,FR10,,,0.8991,0.9397,0.6112,0.6456,0.7085,0.7797,0.8038,0.8038
dbf9b4f5-7ce4-4485-89d6-a2a4ce79e3d5,FRG01,FRG0,,,0.8565,0.8565,0.8173,0.8173,0.238,0.238,0.8369,0.8369
ba8ff5f5-b470-46b3-a059-feed4ccb826c,FR101,FR10,,,0.5472,0.5772,0.4937,0.5523,0.6457,0.7237,0.5964,0.5964
69897c3c-6c71-4c8f-a4e4-c71ba7abc388,FRL04,FRL0,,,0.4768,0.4768,0.0949,0.0949,0.0381,0.0381,0.4768,0.4768
955fa250-e877-42c9-acc0-8f8588648b6b,FRK26,FRK2,,,0.7989,0.8223,0.7473,0.7904,0.7358,0.8101,0.7731,0.7731
1447d14a-f954-4aa3-a209-c2c021e2f916,FRJ23,FRJ2,,,0.5517,0.613,0.6012,0.6752,0.4751,0.5647,0.5764,0.5764
174ac73e-e171-4ed2-ae06-79d8c3285270,FRL04,FRL0,,,0.9805,0.9872,0.8415,0.8493,0.9128,0.9613,0.9466,0.9466
b758ec27-050c-4fef-8306-7df0cdc3d72c,FRJ23,FRJ2,,,0.7405,0.7519,0.4846,0.4847,0.6298,0.698,0.6852,0.6852
77ab2282-6e04-43f7-ba9c-5baac6be577c,FRL03,FRL0,,,0.6254,0.7023,0.3839,0.4284,0.3067,0.3419,0.5046,0.5046
c9ec0061-8bcb-4923-aee5-bd6eb7bdae3e,FR101,FR10,,,0.0805,0.0805,0.0623,0.0623,0.1007,0.1007,0.0906,0.0906
94f5068c-aa71-4209-b9a9-d71748377fe9,FRH01,FRH0,,,0.5789,0.6371,0.2723,0.2736,0.2646,0.2938,0.5789,0.5789
0571dc50-9321-487c-94c6-2c5d698cea7a,FR101,FR10,,,0.7985,0.8441,0.7777,0.8449,0.8041,0.8613,0.8013,0.8013
17118f80-5960-44fa-b84b-76542549f7bb,FRI12,FRI1,,,0.2466,0.2466,0.1405,0.1405,0.033,0.033,0.1935,0.1935
a1aa09e7-e9a2-40d6-b2ec-090bac7c726d,FRH01,FRH0,,,0.8737,0.8921,0.2914,0.3052,0.7558,0.8507,0.8148,0.8148
e5ef020a-45ca-44fd-8981-3bb8116c93ec,FR101,FR10,,,0.9103,0.9809,0.9232,0.9913,0.9187,0.9928,0.921,0.921
6036d79b-3ab6-49f2-baee-4a9736965090,FRL03,FRL0,,,0.6175,0.7088,0.8904,0.9144,0.9314,0.9954,0.9109,0.9109
432aa29d-ef96-4baa-b239-5493a8a9df70,FR101,FR10,,,0.9023,0.9258,0.9769,0.9819,0.9314,0.9315,0.9542,0.9542
c562f2ba-8c06-46f4-ab08-a28b8f6c8253,FR101,FR10,,,0.9354,0.9873,0.8352,0.909,0.9409,0.9891,0.9382,0.9382
3b33c598-f6d9-4d71-9830-156f041515f8,FR101,FR10,,,0.8722,0.9433,0.7695,0.8554,0.6909,0.7687,0.8208,0.8208
f5b0df11-5a2a-4bee-b051-b8714e1c48b0,FRJ23,FRJ2,,,0.801,0.801,0.8612,0.8612,0.514,0.514,0.8311,0.8311
b9a93b5b-f647-405a-83a6-f57b8472b045,FR101,FR10,,,0.5029,0.513,0.3806,0.4178,0.1156,0.1231,0.4418,0.4418
0d5311e7-b0ee-4143-9871-fbdc131b43be,FRK26,FRK2,,,0.8531,0.8531,0.6678,0.6678,0.6826,0.6826,0.7678,0.7678
2d8c44c4-f611-4272-a1c3-a560f2e3d58e,FRL05,FRL0,,,0.75,0.8098,0.2303,0.2455,0.7079,0.7357,0.729,0.729
1368e9bb-ad54-41fd-8124-0bb261942778,FR106,FR10,,,0.8164,0.8164,0.6752,0.6752,0.4476,0.4476,0.7458,0.7458
48fae8f7-6b39-42e6-8249-1727560b2d45,FR101,FR10,,,0.8378,0.8855,0.566,0.5832,0.7367,0.7967,0.7872,0.7872
dec087c7-9969-4b63-b09e-508333077dd1,FR101,FR10,,,0.9359,0.9909,0.6608,0.6811,0.7915,0.8161,0.8637,0.8637
b6e03d92-de80-422a-8810-eff4a1a4b53b,FRL04,FRL0,,,0.9806,0.9921,0.9665,0.9875,0.9195,0.9767,0.9736,0.9736
c20ca80b-90fe-463f-8eef-2f03fcf0720b,FR101,FR10,,,0.5692,0.5791,0.51,0.5395,0.6043,0.6734,0.5868,0.5868
12b6feee-b661-4543-b2e1-38a334297e10,FR101,FR10,,,0.8947,0.8947,0.7481,0.7481,0.8521,0.8521,0.8734,0.8734
e0afe9f2-bce1-48cb-b254-0da9e602e13d,FR106,FR10,,,0.7941,0.8513,0.4429,0.4581,0.6047,0.6718,0.6994,0.6994
cc7aee75-68b6-4df8-9df2-1033b1978f00,FRK26,FRK2,,,0.9553,0.9553,0.9479,0.9479,0.9588,0.9588,0.957,0.957
3d159305-c961-44c7-8cca-bb1b989b96f0,FRB05,FRB0,,,0.4202,0.4202,0.2981,0.2981,0.2673,0.2673,0.3591,0.3591
8f754302-7270-4573-afbe-b18c177d6b5e,FRG01,FRG0,,,0.3544,0.3962,0.5635,0.5973,0.3595,0.3953,0.4615,0.4615
ba9abafc-8ab6-48ed-b184-cf8de95e8a81,FRL04,FRL0,,,0.8659,0.9359,0.7946,0.8126,0.718,0.7683,0.8302,0.8302
aa056c10-8446-4463-b9d9-cd4dc051d36f,FR101,FR10,,,0.8484,0.8484,0.0784,0.0784,0.2539,0.2539,0.8484,0.8484
