article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,trade_pos_prob,trade_neg_prob,china_threat_score,china_threat_confidence,china_pos_prob,china_neg_prob,industrial_intervention_score,industrial_intervention_confidence,industrial_pos_prob,industrial_neg_prob,econ_nationalism_composite,composite_confidence
1fff71c6-4828-4c52-981a-84fc85daadf5,FR101,FR10,,,0.2269,0.2641,0.5806,0.4194,-0.5386,0.6038,0.3273,0.6727,0.1381,0.6432,0.5345,0.4655,-0.0579,0.5037
539b2bec-209f-4aa0-85d5-ea396f96d672,FRL04,FRL0,,,-0.1502,0.1502,0.4249,0.5751,0.1512,0.1512,0.5756,0.4244,0.6062,0.6062,0.8031,0.1969,0.2024,0.3025
c96b3f2e-77d8-4a8d-b640-12a3aac200bc,FRG01,FRG0,,,0.601,0.7091,0.7232,0.2768,-0.2984,0.3517,0.4254,0.5746,0.447,0.5104,0.6117,0.3883,0.2499,0.5237
bed04141-d430-457c-9f8d-6b44b68b6915,FR101,FR10,,,0.4858,0.5896,0.6265,0.3735,-0.2299,0.3074,0.4016,0.5984,0.2035,0.3936,0.5604,0.4396,0.1531,0.4302
e18de45c-a997-4641-845f-1f80d6ed7a93,FRL03,FRL0,2016-08-27,2016.0,0.3355,0.4115,0.6593,0.3407,-0.5134,0.6421,0.3323,0.6677,0.8315,0.9197,0.9124,0.0876,0.2179,0.6578
4381f493-9f69-49c0-b2c1-bf3ac1aab87e,FR101,FR10,,,0.6109,0.7363,0.7681,0.2319,-0.8425,0.8653,0.2776,0.7224,0.8111,0.933,0.8909,0.1091,0.1932,0.8449
c11dee9b-9a81-4100-8d71-a918ebe37b56,FR101,FR10,,,0.2166,0.2458,0.605,0.395,-0.3616,0.4795,0.3562,0.6438,0.8568,0.9197,0.6489,0.3511,0.2373,0.5483
9fbc410d-8221-4aac-b9b8-079654313b9b,FRK26,FRK2,,,0.0573,0.0573,0.5287,0.4713,-0.3911,0.3911,0.3044,0.6956,0.7635,0.7635,0.8817,0.1183,0.1432,0.404
6bfdcb34-4970-45ca-8d84-d6b31d317a50,FRL04,FRL0,,,0.4526,0.5488,0.6514,0.3486,-0.5854,0.6338,0.2112,0.7888,0.6986,0.8412,0.8394,0.1606,0.1886,0.6746
e463c640-9283-46e0-b60d-a5b566046762,FRL03,FRL0,,,-0.0449,0.0449,0.4776,0.5224,-0.3157,0.3157,0.3421,0.6579,0.0439,0.0439,0.522,0.478,-0.1056,0.1348
3f4b97a0-2faa-4b2b-95df-937edbd3d429,FRJ13,FRJ1,,,0.2074,0.2283,0.5761,0.4239,-0.2748,0.3254,0.3677,0.6323,0.7479,0.8712,0.7477,0.2523,0.2268,0.475
4da490c3-7c61-40f7-a034-67cb418e223b,FRI12,FRI1,,,0.2607,0.3535,0.598,0.402,-0.3548,0.612,0.418,0.582,0.1893,0.5945,0.5717,0.4283,0.0317,0.52
7770562b-0c55-4b48-95f8-ac89cb35f398,FRJ13,FRJ1,,,0.0451,0.1447,0.5131,0.4869,-0.2414,0.3182,0.42,0.58,0.6286,0.793,0.7912,0.2088,0.1441,0.4186
236bc0e7-042f-4e8e-97c7-3235675201e9,FR101,FR10,,,0.6704,0.6704,0.8352,0.1648,-0.4495,0.4495,0.2752,0.7248,0.7954,0.7954,0.8977,0.1023,0.3388,0.6384
be764b08-c728-4393-929b-068a01266088,FR101,FR10,,,0.153,0.1605,0.5763,0.4237,0.1757,0.1818,0.5877,0.4123,-0.2646,0.306,0.373,0.627,0.0214,0.2161
68c5c49d-55b3-4a1d-959e-22546e004304,FRB05,FRB0,,,0.1385,0.1837,0.5615,0.4385,-0.1441,0.7181,0.4149,0.5851,0.1451,0.5241,0.5037,0.4963,0.0465,0.4753
29667c4d-daf9-475c-93db-34bb2ace6e7d,FR106,FR10,,,0.4166,0.5544,0.641,0.359,-0.3347,0.4343,0.3652,0.6348,0.6075,0.7749,0.7815,0.2185,0.2298,0.5879
4ed2ab74-a5e1-4c7a-9da2-1212790893f2,FR101,FR10,,,0.5034,0.6842,0.6892,0.3108,-0.215,0.2339,0.3945,0.6055,-0.6898,0.8826,0.2865,0.7135,-0.1338,0.6002
3458d755-13d6-48f7-a5db-b55c3dcbfc09,FRG01,FRG0,,,0.4335,0.4335,0.7167,0.2833,-0.7381,0.7381,0.131,0.869,0.3436,0.3436,0.6718,0.3282,0.013,0.5051
96ea5735-dd13-4894-8cab-0b369e68c8e2,FR101,FR10,,,-0.3634,0.3634,0.3183,0.6817,-0.1064,0.1064,0.4468,0.5532,0.3369,0.3369,0.6684,0.3316,-0.0443,0.2689
8892ce33-37ee-4bc5-a143-792937b7625d,FR102,FR10,,,0.3968,0.3968,0.6984,0.3016,-0.144,0.144,0.428,0.572,0.59,0.59,0.795,0.205,0.2809,0.3769
99d0b8e6-8351-4f76-9545-dfaf99970847,FRL03,FRL0,,,0.3712,0.3818,0.6855,0.3145,-0.3573,0.3622,0.3214,0.6786,-0.1301,0.2879,0.4675,0.5325,-0.0387,0.344
da98bb75-9389-4f14-a1de-c6671938e520,FRJ23,FRJ2,,,0.8742,0.8742,0.9371,0.0629,-0.8048,0.8048,0.0976,0.9024,0.8938,0.8938,0.9469,0.0531,0.3211,0.8576
41f2074e-6abf-4384-a189-0de82d734319,FR101,FR10,,,0.5933,0.7155,0.7474,0.2526,-0.3124,0.3357,0.3449,0.6551,-0.1548,0.1863,0.4369,0.5631,0.042,0.4125
0592d96d-53e5-4604-99dd-154b10c8c858,FRL04,FRL0,,,0.2173,0.2173,0.6087,0.3913,-0.0205,0.0205,0.4897,0.5103,0.1783,0.1783,0.5891,0.4109,0.125,0.1387
3d2b08c5-c99b-45e7-a773-1bbe13dd51cb,FRK26,FRK2,,,0.582,0.582,0.791,0.209,-0.3767,0.3767,0.3116,0.6884,0.8244,0.8244,0.9122,0.0878,0.3432,0.5944
87feffb0-5a61-41e1-ac9c-7cb6d37c7458,FRJ23,FRJ2,,,0.3674,0.3674,0.6837,0.3163,-0.2046,0.2046,0.3977,0.6023,0.0789,0.0789,0.5395,0.4605,0.0806,0.217
16fe2753-21ef-4902-bec7-a8502d2eb590,FRB05,FRB0,,,0.4573,0.5335,0.7175,0.2825,-0.422,0.4625,0.3717,0.6283,-0.3676,0.5245,0.4081,0.5919,-0.1108,0.5068
b1088965-a79d-452c-95d3-655c07ca7eec,FR101,FR10,,,0.1076,0.152,0.5269,0.4731,-0.1853,0.1882,0.4074,0.5926,0.5123,0.5563,0.7538,0.2462,0.1449,0.2988
1adb03eb-e729-41ff-a33e-2e05fc467663,FR101,FR10,,,-0.2858,0.3089,0.3582,0.6418,-0.1817,0.2125,0.4139,0.5861,0.3132,0.3744,0.6428,0.3572,-0.0514,0.2986
c39b691c-0746-4c2a-bb54-d6c2db1da9b6,FRJ23,FRJ2,,,-0.1615,0.1806,0.4485,0.5515,-0.3984,0.4682,0.354,0.646,-0.3779,0.8016,0.4055,0.5945,-0.3126,0.4835
9d8ab1cc-e895-4a85-95d5-92975d40917d,FRI32,FRI3,,,-0.0303,0.0303,0.4849,0.5151,0.144,0.144,0.572,0.428,0.1569,0.1569,0.5784,0.4216,0.0902,0.1104
8b5b2436-f69a-40f5-9847-9d58fc533cd1,FR101,FR10,,,0.0763,0.0763,0.5381,0.4619,-0.4117,0.4117,0.2942,0.7058,0.7611,0.7611,0.8805,0.1195,0.1419,0.4164
1c69ce29-0c39-4f79-87c7-66fc685d501c,FRK26,FRK2,,,-0.3239,0.3384,0.3384,0.6616,0.5068,0.5483,0.6267,0.3733,0.6903,0.7595,0.6726,0.3274,0.2911,0.5487
63ba5c3b-0c9d-4bfc-8a1a-9b3262bfd6e8,FRK24,FRK2,,,-0.4924,0.6176,0.3651,0.6349,-0.3277,0.3464,0.3908,0.6092,-0.0725,0.7259,0.5061,0.4939,-0.2975,0.5633
b97f25a8-e67d-401d-a0cf-33e26f3bfc49,FRE12,FRE1,,,0.4861,0.5643,0.725,0.275,-0.2944,0.3981,0.408,0.592,0.784,0.8723,0.889,0.111,0.3252,0.6116
0651d823-9d54-4fa8-908c-92fabab5e856,FRJ13,FRJ1,,,0.3619,0.3619,0.6809,0.3191,-0.3833,0.3833,0.3083,0.6917,0.4158,0.4158,0.7079,0.2921,0.1315,0.387
4d2008b7-5396-4022-845e-7adc64668e2e,FRJ23,FRJ2,,,0.7462,0.7462,0.8731,0.1269,-0.835,0.835,0.0825,0.9175,0.3786,0.3786,0.6893,0.3107,0.0966,0.6533
6ec4fe9e-565a-402b-826b-ba85bd5915a1,FR101,FR10,,,-0.3386,0.3856,0.3464,0.6536,-0.4837,0.6524,0.3296,0.6704,0.6436,0.8325,0.7985,0.2015,-0.0596,0.6235
a5720d17-d698-4e34-a6af-1f49226e23c5,FRI12,FRI1,,,-0.1317,0.2458,0.4671,0.5329,-0.3897,0.4659,0.3225,0.6775,0.3625,0.4004,0.6786,0.3214,-0.053,0.3707
476c0e88-5ae4-4724-8f93-489747c62d5e,FR101,FR10,,,0.5376,0.5376,0.7688,0.2312,-0.6462,0.6462,0.1769,0.8231,0.0799,0.0799,0.54,0.46,-0.0096,0.4212
