article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,trade_pos_prob,trade_neg_prob,china_threat_score,china_threat_confidence,china_pos_prob,china_neg_prob,industrial_intervention_score,industrial_intervention_confidence,industrial_pos_prob,industrial_neg_prob,econ_nationalism_composite_avg,composite_avg_confidence,econ_nationalism_composite_max2,composite_max2_dimensions,composite_max2_top1,composite_max2_top2,composite_max2_dropped
3e543241-2da0-4193-ba8a-622b83b2d755,FR106,FR10,,,0.6724,0.8566,0.8123,0.1877,-0.4722,0.498,0.3255,0.6745,0.6101,0.8135,0.7672,0.2328,0.2701,0.7227,0.6412,trade+industrial,trade,industrial,china
0ac6dfd1-5af2-4b56-8977-e239e459a789,FRL03,FRL0,,,0.3551,0.433,0.6065,0.3935,-0.3485,0.398,0.3343,0.6657,0.9169,0.952,0.9581,0.0419,0.3078,0.5943,0.636,industrial+trade,industrial,trade,china
a06c6082-2cdb-421f-82fe-934ea0bf17f1,FR101,FR10,,,0.309,0.345,0.5981,0.4019,-0.2041,0.2422,0.4053,0.5947,0.6358,0.7558,0.7939,0.2061,0.2469,0.4477,0.4724,industrial+trade,industrial,trade,china
b2589fa3-58ab-4261-aa0d-8170535dbacb,FRL04,FRL0,,,0.173,0.173,0.5865,0.4135,-0.3554,0.3554,0.3223,0.6777,0.2837,0.2837,0.6419,0.3581,0.0338,0.2707,0.2283,industrial+trade,industrial,trade,china
0eb8bd05-ded4-4b4e-a010-5d65aed0b9cb,FRK26,FRK2,,,0.5854,0.5854,0.7927,0.2073,-0.344,0.344,0.328,0.672,0.9609,0.9609,0.9805,0.0195,0.4008,0.6301,0.7732,industrial+trade,industrial,trade,china
46ecdc99-7355-487b-9653-f0d0005367b8,FR101,FR10,,,0.5472,0.633,0.6908,0.3092,-0.3358,0.3408,0.3322,0.6678,0.6234,0.6789,0.8086,0.1914,0.2783,0.5509,0.5853,industrial+trade,industrial,trade,china
9a8a73d6-119a-43b6-abe6-4bb04e39562a,FR101,FR10,,,0.0049,0.0049,0.5024,0.4976,-0.7535,0.7535,0.1232,0.8768,-0.1698,0.1698,0.4151,0.5849,-0.3061,0.3094,-0.0825,trade+industrial,trade,industrial,china
54ecec33-2668-4444-aa4b-0718c036f8e4,FR101,FR10,2016-09-01,2016.0,-0.0055,0.1378,0.5014,0.4986,-0.3164,0.3832,0.3466,0.6534,-0.368,0.5773,0.4047,0.5953,-0.23,0.3661,-0.161,trade+china,trade,china,industrial
b975990f-5e69-45a9-9375-eeb8ce7e3701,FR101,FR10,,,0.3737,0.3737,0.6869,0.3131,-0.7022,0.7022,0.1489,0.8511,0.8312,0.8312,0.9156,0.0844,0.1676,0.6357,0.6025,industrial+trade,industrial,trade,china
d4d1a126-5d0d-4713-bdda-0ec8ee439dd1,FRL03,FRL0,,,0.5129,0.5338,0.756,0.244,-0.0409,0.1891,0.4898,0.5102,0.7334,0.7573,0.8663,0.1337,0.4018,0.4934,0.6232,industrial+trade,industrial,trade,china
