article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,trade_pos_prob,trade_neg_prob,china_threat_score,china_threat_confidence,china_pos_prob,china_neg_prob,industrial_intervention_score,industrial_intervention_confidence,industrial_pos_prob,industrial_neg_prob,econ_nationalism_composite_avg,composite_avg_confidence,econ_nationalism_composite_max2,composite_max2_dimensions,composite_max2_top1,composite_max2_top2,composite_max2_dropped
38fdf6ee-9792-4fd7-a27c-27fba422b47c,FR101,FR10,,,0.2399,0.2399,0.6199,0.3801,0.2153,0.2153,0.6077,0.3923,0.6045,0.6045,0.8022,0.1978,0.3532,0.3532,0.4222,industrial+trade,industrial,trade,china
8df1b1ea-a6e8-41b9-a4bc-8cb7e39c6e40,FRE12,FRE1,,,-0.0059,0.0059,0.4971,0.5029,-0.3243,0.3243,0.3379,0.6621,-0.6245,0.6245,0.1877,0.8123,-0.3182,0.3182,-0.1651,trade+china,trade,china,industrial
23bd524d-90ad-4d91-978a-d1a5543b40fe,FR101,FR10,,,0.3162,0.3162,0.6581,0.3419,-0.2925,0.2925,0.3538,0.6462,0.6102,0.6102,0.8051,0.1949,0.2113,0.4063,0.4632,industrial+trade,industrial,trade,china
9ecedcbc-7e26-4763-a263-270e8f2fe5f1,FRL04,FRL0,,,0.0727,0.0727,0.5364,0.4636,-0.0483,0.0483,0.4758,0.5242,0.5713,0.5713,0.7856,0.2144,0.1986,0.2308,0.322,industrial+trade,industrial,trade,china
8816da74-2d48-4938-bfc3-be5e057e6ce1,FR102,FR10,,,0.0481,0.0481,0.524,0.476,0.165,0.165,0.5825,0.4175,0.5132,0.5132,0.7566,0.2434,0.2421,0.2421,0.3391,industrial+china,industrial,china,trade
32919977-bbd0-44ee-be5b-3d5e261364cd,FRG01,FRG0,,,0.131,0.131,0.5655,0.4345,-0.2565,0.2565,0.3718,0.6282,0.4762,0.4762,0.7381,0.2619,0.1169,0.2879,0.3036,industrial+trade,industrial,trade,china
8bb53054-6a04-4964-8993-49ab2fa5a930,FRL04,FRL0,,,0.0741,0.0741,0.537,0.463,-0.3673,0.3673,0.3164,0.6836,0.676,0.676,0.838,0.162,0.1276,0.3725,0.375,industrial+trade,industrial,trade,china
ed67b4be-70b6-487e-905f-cdce1e74c19b,FR101,FR10,,,-0.0049,0.0049,0.4976,0.5024,-0.3969,0.3969,0.3016,0.6984,0.2088,0.2088,0.6044,0.3956,-0.0643,0.2035,0.102,industrial+trade,industrial,trade,china
264e7c3c-d145-41b9-986b-232d22cb0bf2,FR103,FR10,,,0.0901,0.0901,0.545,0.455,-0.5881,0.5881,0.2059,0.7941,-0.2595,0.2595,0.3702,0.6298,-0.2525,0.3126,-0.0847,trade+industrial,trade,industrial,china
9528f649-813b-4e5f-9b4a-d4c70c94ea1b,FRG01,FRG0,,,0.1012,0.1012,0.5506,0.4494,-0.0454,0.0454,0.4773,0.5227,0.2325,0.2325,0.6162,0.3838,0.0961,0.1264,0.1668,industrial+trade,industrial,trade,china
76f8cace-7b2a-4b6e-85cf-fad7c16731d1,FR101,FR10,2016-08-30,2016.0,0.1273,0.1273,0.5636,0.4364,-0.404,0.404,0.298,0.702,-0.1507,0.1507,0.4247,0.5753,-0.1425,0.2273,-0.0117,trade+industrial,trade,industrial,china
f5842856-efa8-4f0e-b45d-0dcb4c493518,FR101,FR10,,,-0.7554,0.7554,0.1223,0.8777,0.0537,0.0537,0.5268,0.4732,-0.5305,0.5305,0.2348,0.7652,-0.4107,0.4465,-0.2384,china+industrial,china,industrial,trade
5e12b812-e59c-41fc-8d9d-755f21919d1a,FR101,FR10,,,0.4974,0.4974,0.7487,0.2513,-0.8444,0.8444,0.0778,0.9222,0.3567,0.3567,0.6783,0.3217,0.0032,0.5662,0.4271,trade+industrial,trade,industrial,china
1c746593-e141-4314-8d47-cd35198dec6b,FR101,FR10,,,0.8242,0.8242,0.9121,0.0879,-0.5767,0.5767,0.2117,0.7883,0.9385,0.9385,0.9692,0.0308,0.3953,0.7798,0.8814,industrial+trade,industrial,trade,china
2e607b14-6f93-4a29-b7a8-ad7c2a47e202,FRL04,FRL0,,,0.2366,0.2366,0.6183,0.3817,-0.3333,0.3333,0.3333,0.6667,0.8498,0.8498,0.9249,0.0751,0.251,0.4732,0.5432,industrial+trade,industrial,trade,china
80642ca6-95dd-4d8e-ac92-a998e4f06d1c,FR104,FR10,,,0.3801,0.3801,0.69,0.31,-0.4077,0.4077,0.2961,0.7039,0.0454,0.0454,0.5227,0.4773,0.0059,0.2777,0.2127,trade+industrial,trade,industrial,china
3e7299de-8fd4-49f1-b3ea-f31d570a2983,FRK26,FRK2,,,-0.0576,0.0576,0.4712,0.5288,0.0343,0.0343,0.5171,0.4829,0.4316,0.4316,0.7158,0.2842,0.1361,0.1745,0.2329,industrial+china,industrial,china,trade
cc2943aa-99af-4053-8588-ec866811c54f,FRL05,FRL0,,,0.0988,0.0988,0.5494,0.4506,-0.2383,0.2383,0.3809,0.6191,-0.0831,0.0831,0.4585,0.5415,-0.0742,0.1401,0.0079,trade+industrial,trade,industrial,china
97deacd3-b758-42f6-96c8-3aa6cc8fb74b,FR101,FR10,,,-0.0264,0.0264,0.4868,0.5132,-0.3023,0.3023,0.3489,0.6511,0.8934,0.8934,0.9467,0.0533,0.1882,0.4074,0.4335,industrial+trade,industrial,trade,china
